priority,wave,organization,region,partner_type,target_roles,requested_capability,value_to_partner,access_form,status,internal_owner,next_action,target_date,official_contact,dependencies,notes
1,0,Philippine privacy counsel,Philippines,Legal,"Technology; privacy; government contracting counsel","Legal entity; lawful basis; DSA/MOA; report claims; liability","Well-scoped compliant pilot and reusable agreement framework",Professional engagement,Not contacted,,Select counsel and review full package,,,Entity details,"Required before government send"
2,0,365 Data Protection Officer,Philippines,Internal governance,DPO,"PIA; ROPA; registration; notices; rights; incidents","Trustworthy privacy-by-design program",Formal appointment,Not complete,,Appoint DPO with dedicated contact,,,Legal entity,"Blocker"
3,0,National Privacy Commission,Philippines,Privacy regulator,"Compliance and Monitoring; appropriate advisory/data security contacts","Guidance on registration; PIA; DSA; consumer display; rights","Privacy-engineered pilot and clear remedies",Official inquiry/consultation as appropriate,Not contacted,,Prepare narrow DPO/counsel question set,,https://privacy.gov.ph/contact-us/,DPO and counsel,"NPC does not pre-approve compliance"
4,1,Land Transportation Office,Philippines,Government registry,"Office of Assistant Secretary; Vehicle Registration; Management Information/ICT; Legal; Law Enforcement; DPO","Minimal identity/status verification","Fraud reduction; transfer readiness; repair/odometer/component evidence","Exploratory meeting then MOA/DSA and controlled middleware",Not contacted,,Complete blockers and submit concept note,,https://lto.gov.ph/contact-us/,Entity DPO PIA security demo shops,"No registry copy or owner PII"
5,1,PNP Highway Patrol Group,Philippines,Law enforcement,"Director; vehicle verification/system; legal; DPO/security","Stolen/alarmed/recovered status or official referral","Safer transactions; qualified verified referrals; audit evidence","Status-only verification/referral under approved agreement",Not contacted,,Finalize non-enumeration and escalation workflow,,,LTO route and counsel,"No investigative detail or public allegation"
6,1,Insurance Commission,Philippines,Insurance regulator,"Non-life/motor regulation; legal; data/privacy; IT","Common motor loss-history event standard","Disclosure; claims and repair traceability; fraud controls","Regulatory/industry discovery and pilot",Not contacted,,Submit regulator concept after counsel review,,https://www.insurance.gov.ph/,Counsel DPO field matrix,"Exclude policyholder and private claim files"
7,2,Philippine Insurers and Reinsurers Association or relevant industry body,Philippines,Industry association,"Motor claims; data; legal/privacy; innovation committee","Multi-insurer event standard and launch participants","Reusable standard; lower verification friction; fraud controls",Working group,Researching,,Confirm correct association/contact and invite three insurers,,,Insurance Commission discovery,"Do not assume association authority"
8,2,Pilot motor insurer A,Philippines,Insurer,"Claims; SIU/fraud; data; innovation; legal/privacy; security","Loss/total-loss/theft/repair events","Repair parts inspection and post-scan evidence","Synthetic then DSA/API or signed batch pilot",Not selected,,Select willing insurer after regulator discovery,,,Common field standard,"No fault conclusion"
9,2,Pilot motor insurer B,Philippines,Insurer,"Claims; data; legal/privacy; security","Loss/total-loss/theft/repair events","Repair and warranty traceability","Synthetic then DSA/API or signed batch pilot",Not selected,,Select contrasting insurer for coverage test,,,Common field standard,"Require correction/withdrawal feed"
10,2,PMVIC pilot operator network,Philippines,Inspection,"Compliance; operations; IT/API; legal/privacy","Signed inspection identity reading result advisory","Appointment/referral channel and digital history",API signed batch or validation link,Not contacted,,Select operators in pilot regions,,,Pilot regions,"Official inspection stays separate from 365 PPI"
11,2,PETC pilot operator network,Philippines,Inspection,"Compliance; operations; IT; legal/privacy","Signed emission/identity/date/readings where permitted","Digital history and customer channel",API signed batch or validation link,Not contacted,,Confirm permissible fields and select pilot,,,Pilot regions,"Do not overstate regulatory meaning"
12,2,Philippine OEM distributor/dealer group A,Philippines,OEM/dealer,"Aftersales; warranty; recall; parts; IT; privacy/legal","Warranty service recall mileage genuine parts components","Recall leads; retention; genuine-parts traceability","OEM-approved API/feed/validation",Not selected,,Choose high-volume passenger brand,,,Field and licence matrix,"No portal scraping"
13,2,Philippine OEM distributor/dealer group B,Philippines,OEM/dealer,"Commercial vehicle aftersales; warranty; parts; IT","Truck warranty recall service and component history","Fleet safety; parts traceability; owner retention",OEM-approved API/feed/validation,Not selected,,Choose commercial vehicle brand,,,Heavy Truck domain readiness,"Keep domain separate"
14,2,Philippine parts distributor A,Philippines,Parts supplier,"Ecommerce/catalogue; warranty; IT/API; legal","Purchase GTIN MPN serial/lot shipment return warranty","Sales channel; warranty and fitment feedback",Parts Network API/feed,Not selected,,Select structured-catalogue/invoice supplier,,,Parts lifecycle MVP,"Purchase is not installation"
15,2,Philippine parts distributor B,Philippines,Parts supplier,"Ecommerce; warranty; IT","Competitive coverage and provenance","Sales and warranty evidence",Parts Network API/feed,Not selected,,Select alternative supplier and compare coverage,,,Parts lifecycle MVP,"No exclusive initial deal"
16,2,Verified independent repair shops,Philippines,Contributors,"Owners; service managers; technicians; DPO/privacy contact","RO service mileage parts installation scan and inspection events","Shop Manager value; badge; retention; warranty/comeback evidence",Native contributor agreement,Recruiting,,Secure 5-10 letters and verify/training,,,Shop Manager pilot,"Rewards based on quality not positive outcomes"
