provider,product,module_key,region,coverage_score_0_100,coverage_weighted_30,rights_score_0_100,rights_weighted_25,integration_score_0_100,integration_weighted_15,economics_score_0_100,economics_weighted_15,support_score_0_100,support_weighted_10,strategy_score_0_100,strategy_weighted_5,total_score_0_100,automatic_disqualification,disqualification_reason,evaluator,evaluated_at,decision,notes
TecAlliance,TecDoc/TecRMI/TecCom,repair_automotive,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
Autodata,Autodata API,repair_automotive,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
Autodata,Autodata API,repair_motorcycle,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
Infomedia,VIN/Parts/OMNI APIs,repair_automotive,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
HaynesPro,Web Services,repair_heavy_truck,Europe,,,,,,,,,,,,,,,,,,,not_started,
MOTOR,DaaS,repair_automotive,North America,,,,,,,,,,,,,,,,,,,not_started,
MOTOR,FleetCross/DaaS,repair_heavy_truck,North America,,,,,,,,,,,,,,,,,,,not_started,
ARI/Dealer Spike,PartStream/DataSmart,repair_marine,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
Volvo Penta,API Products,repair_marine,Asia-Pacific,,,,,,,,,,,,,,,,,,,not_started,
NCM/Spader,Marine Flat Rates,repair_marine,North America,,,,,,,,,,,,,,,,,,,not_started,
