id,gate,priority,requirement,evidence_required,owner,status,target_date,send_blocker,notes
R001,Corporate,BLOCKER,Confirm Philippine legal contracting entity,"SEC/DTI certificate as applicable; current registration profile",,Not started,,Yes,
R002,Corporate,BLOCKER,Confirm BIR registration and invoicing path,"BIR certificate and finance sign-off",,Not started,,Yes,
R003,Corporate,BLOCKER,Confirm principal office and current local permits,"Office evidence and permits",,Not started,,Yes,
R004,Corporate,BLOCKER,Authorize signatory,"Board/owner resolution or equivalent authority",,Not started,,Yes,
R005,Corporate,HIGH,Use business-domain email and official telephone,"Tested signature block and contact page",,Not started,,Yes,
R006,Corporate,HIGH,Complete company one-page profile,"Approved PDF with accurate traction and no partner claims",,Not started,,Yes,
R007,Legal,BLOCKER,Engage Philippine counsel,"Engagement and named reviewer",,Not started,,Yes,
R008,Legal,HIGH,Review product name and trademark risk,"Written search/review note",,Not started,,No,
R009,Legal,HIGH,Review technology E&O and cyber insurance,"Quotes and coverage-gap decision",,Not started,,No,
R010,Privacy,BLOCKER,Appoint Data Protection Officer,"Appointment; dedicated email; responsibilities",,Not started,,Yes,
R011,Privacy,BLOCKER,Resolve NPC DPO/DPS registration or exemption path,"Registration record or counsel/DPO memo and required declaration",,Not started,,Yes,
R012,Privacy,BLOCKER,Create Records of Processing Activities,"Approved ROPA covering all pilot workflows",,Not started,,Yes,
R013,Privacy,BLOCKER,Complete Privacy Impact Assessment,"PIA report and risk treatment plan",,Not started,,Yes,
R014,Privacy,BLOCKER,Approve lawful-basis and consent matrix,"Field/purpose/source matrix",,Not started,,Yes,
R015,Privacy,HIGH,Approve layered privacy notices,"Owner; buyer; seller; shop; contributor; partner notices",,Not started,,Yes,
R016,Privacy,HIGH,Implement data-subject request process,"Procedure; request form; owners; response log",,Not started,,Yes,
R017,Privacy,HIGH,Approve retention and secure disposal schedule,"Record-class schedule and backup deletion method",,Not started,,Yes,
R018,Privacy,HIGH,Map subprocessors and cross-border transfers,"Vendor register; regions; contract controls",,Not started,,Yes,
R019,Security,BLOCKER,Approve current data-flow and trust-boundary diagrams,"Architecture pack with owners and versions",,Not started,,Yes,
R020,Security,BLOCKER,Require MFA/passkeys for privileged users,"Configuration and test evidence",,Not started,,Yes,
R021,Security,BLOCKER,Remove shared admin accounts,"Account inventory and access review",,Not started,,Yes,
R022,Security,BLOCKER,Move secrets to server-side managed storage,"Secret scan; vault/config evidence; rotation plan",,Not started,,Yes,
R023,Security,BLOCKER,Test tenant isolation and server authorization,"Automated RLS/API/object-level denial tests",,Not started,,Yes,
R024,Security,BLOCKER,Implement encryption and key ownership,"Control description and rotation test",,Not started,,Yes,
R025,Security,BLOCKER,Implement append-only access and partner-query audit,"Synthetic audit trail and integrity check",,Not started,,Yes,
R026,Security,HIGH,Implement anti-enumeration and rate limits,"Abuse test results",,Not started,,Yes,
R027,Security,HIGH,Implement secure evidence upload and malware scanning,"Quarantine and public-derivative test",,Not started,,Yes,
R028,Security,HIGH,Complete vulnerability and dependency review,"Scan and remediation log",,Not started,,Yes,
R029,Security,BLOCKER,Complete independent penetration test before live restricted data,"Executive report and critical/high remediation",,Not started,,Yes,
R030,Incident,BLOCKER,Approve incident response and breach workflow,"IR plan; call tree; 72-hour decision procedure",,Not started,,Yes,
R031,Incident,BLOCKER,Run incident tabletop,"Exercise report and closed critical actions",,Not started,,Yes,
R032,Continuity,BLOCKER,Approve business continuity and disaster recovery,"BCP/DR plan with RTO/RPO",,Not started,,Yes,
R033,Continuity,BLOCKER,Complete backup restoration test,"Timestamped restore evidence",,Not started,,Yes,
R034,Product,BLOCKER,Build synthetic end-to-end demo,"Check-in to report video/live demo",,Not started,,Yes,
R035,Product,BLOCKER,Create redacted synthetic buyer report,"Approved report showing sources; gaps; disputes",,Not started,,Yes,
R036,Product,BLOCKER,Prove purchased part is separate from installed part,"Test RO and event audit",,Not started,,Yes,
R037,Product,BLOCKER,Prove identity conflicts block auto-merge,"VIN/chassis/frame/engine conflict tests",,Not started,,Yes,
R038,Product,BLOCKER,Prove previous-owner PII cannot enter public report,"Automated and manual redaction tests",,Not started,,Yes,
R039,Product,HIGH,Implement report ID hash QR expiry and watermark,"Validation test and screenshot",,Not started,,Yes,
R040,Product,HIGH,Implement visible correction/dispute intake,"Urgent and routine test cases",,Not started,,Yes,
R041,Pilot,BLOCKER,Recruit 5-10 verified pilot shops,"Signed letters of interest and verification records",,Not started,,Yes,
R042,Pilot,BLOCKER,Approve 1000-5000 asset and regional scope,"Pilot charter and volume assumptions",,Not started,,Yes,
R043,Pilot,HIGH,Train shop users on evidence privacy and disputes,"Training deck; attendance; knowledge check",,Not started,,Yes,
R044,Pilot,HIGH,Approve support and dispute staffing,"Schedule; escalation; service targets",,Not started,,Yes,
R045,Pilot,BLOCKER,Approve KPI thresholds and stop conditions,"Signed scorecard and owner assignments",,Not started,,Yes,
R046,Outreach,BLOCKER,Finalize exact fields requested and excluded,"Approved data-sharing field matrix",,Not started,,Yes,
R047,Outreach,BLOCKER,Counsel and DPO approve concept note and letters,"Versioned approvals",,Not started,,Yes,
R048,Outreach,HIGH,Assign owner and follow-up date for every priority partner,"Completed partner tracker",,Not started,,Yes,
R049,Outreach,HIGH,Prepare controlled meeting pack,"Attachment list with confidential/public classification",,Not started,,Yes,
R050,Executive,BLOCKER,Final send/no-send approval,"Dated written executive approval",,Not started,,Yes,
