kpi_id,category,metric,definition,baseline,target,minimum_acceptance,measurement_frequency,owner,status,stop_condition,notes
K001,Identity,Exact event-to-asset attachment rate,Percent of tested events attached to intended exact asset,,,99.5%,Weekly,,Not started,Yes,"All exceptions require review; sample includes conflicts"
K002,Identity,Critical conflict auto-merge count,Automatic merges despite VIN/chassis/frame/engine conflict,0,0,0,Continuous,,Not started,Yes,
K003,Identity,Duplicate asset detection,Percent known duplicate test cases detected,,,99%,Weekly,,Not started,No,
K004,Identity,Partner match response accuracy,Correct match/mismatch/no-result across approved test set,,,99.5%,Per release,,Not started,Yes,
K005,Data quality,Publishable event completeness,Events containing all required source time identity evidence and policy fields,,,98%,Weekly,,Not started,No,
K006,Data quality,Untraceable public event count,Public events without source and provenance,0,0,0,Continuous,,Not started,Yes,
K007,Parts,Installed part RO traceability,Installed-part events linked to RO and technician confirmation,,,100%,Weekly,,Not started,Yes,
K008,Parts,Purchase misrepresented as installation,Purchases published as installed without install event,0,0,0,Continuous,,Not started,Yes,
K009,Reports,Source coverage disclosure,Reports showing sources countries search time and gaps,,,100%,Daily sample,,Not started,Yes,
K010,Reports,No-record comprehension,Test users correctly understand no record is not clean/no-event,,,90%,Monthly usability test,,Not started,No,
K011,Reports,Report validation success,Valid reports passing QR/hash/current-state validation,,,99.9%,Daily,,Not started,No,
K012,Reports,Superseded report visibility,Corrected reports marked superseded on validation page,,,100%,Per correction,,Not started,Yes,
K013,Privacy,Previous-owner PII public exposure,Confirmed previous-owner PII in buyer/public reports,0,0,0,Continuous,,Not started,Yes,
K014,Privacy,Partner field-policy violation,Display/store/use outside signed partner field policy,0,0,0,Continuous,,Not started,Yes,
K015,Privacy,Data-subject request audit completeness,Requests with verified intake owner due date and resolution,,,100%,Monthly,,Not started,No,
K016,Security,Privileged MFA coverage,Privileged users protected by MFA/passkey,,,100%,Weekly,,Not started,Yes,
K017,Security,Partner query audit completeness,Queries with user purpose source scope and outcome,,,100%,Daily,,Not started,Yes,
K018,Security,Successful bulk enumeration,Confirmed ability to enumerate protected identifiers at scale,0,0,0,Continuous/test,,Not started,Yes,
K019,Security,Critical/high penetration findings open,Unresolved critical/high findings affecting pilot,0,0,0,Before live and monthly,,Not started,Yes,
K020,Security,Backup restore test success,Required services restored within approved RTO/RPO,,,100%,Quarterly,,Not started,Yes,
K021,Incident,Notification readiness,Tabletop demonstrates decision and available-info package inside 72 hours,,,Pass,Before live and semiannual,,Not started,Yes,
K022,Incident,Partner credential revocation time,Time to revoke compromised client/token after decision,,,15 minutes,Quarterly exercise,,Not started,No,
K023,Disputes,Urgent wrong-vehicle triage,Percent initially triaged within one business day,,,95%,Weekly,,Not started,No,
K024,Disputes,Material dispute initial review,Percent initially reviewed within two business days,,,90%,Weekly,,Not started,No,
K025,Disputes,Correction propagation,Percent approved source corrections reflected within contractual window,,,99%,Weekly,,Not started,Yes,
K026,Operations,Valid event processing,Valid events accepted or clearly rejected within target window,,,95%,Daily,,Not started,No,
K027,Operations,Partner API availability,Availability excluding approved maintenance,,,99.5%,Monthly,,Not started,No,"Show unavailable; no silent fallback"
K028,Adoption,Verified pilot shops,Shops completing verification training and live capture,0,10,5,Monthly,,Not started,No,
K029,Adoption,Service assets with usable history,Distinct assets with at least one complete verified event,0,5000,1000,Monthly,,Not started,No,
K030,Safety,Buyers completing current inspection,Report purchasers in field trial who obtain inspection,,,Target after baseline,Biweekly,,Not started,No,
K031,Safety,Identity conflicts resolved before sale,Known pilot conflicts resolved or transaction stopped before completion,,,95%,Monthly,,Not started,No,
K032,Commerce,Report refund/complaint rate,Refunds or complaints attributable to misleading report language,,,Target after baseline,Monthly,,Not started,No,
K033,Governance,Unauthorized public partner claim,Unapproved endorsement/logo/integration claim,0,0,0,Continuous,,Not started,Yes,
K034,Governance,Open blocker at live launch,Readiness blocker not completed or formally waived,0,0,0,At gate,,Not started,Yes,"Waiver requires counsel DPO security and executive sign-off"
