risk_id,category,risk,impact,likelihood,inherent_rating,preventive_controls,detective_controls,response_owner,treatment,status,target_date,residual_target,stop_condition
RK001,Legal,365 lacks authority to display a partner field,"Regulatory; contractual; reputational",Medium,Critical,"Field-right matrix; counsel review; signed DSA/MOA/licence","Field-policy audit; report sampling",,Do not ingest/display until authorized,Open,,Low,Yes
RK002,Privacy,Previous-owner personal data appears in buyer report,"Severe privacy harm; enforcement; trust loss",Medium,Critical,"Data zones; deny-by-default field policy; redaction; no public raw documents","Automated forbidden-field tests; DLP; report review",,Immediate suppression incident response and correction,Open,,Low,Yes
RK003,Identity,Events merge onto wrong or cloned vehicle,"Unsafe purchase; value harm; liability",Medium,Critical,"Multi-identifier exact match; conflict queue; no near-match merge","Duplicate/near-match monitoring; owner/shop disputes",,Suspend asset report and conduct identity review,Open,,Low,Yes
RK004,Security,Government/insurer API credential compromise,"Bulk unauthorized access; partner shutdown",Medium,Critical,"mTLS/private key; short tokens; scoped clients; vault; rotation","SIEM alerting; anomaly and query budget monitoring",,Revoke client notify partner incident procedure,Open,,Low,Yes
RK005,Security,Cross-tenant shop data exposure,"Customer/shop privacy and commercial harm",Medium,Critical,"RLS; server authorization; object checks; isolated storage","Automated cross-tenant tests; access anomaly alerts",,Contain assess notify and remediate,Open,,Low,Yes
RK006,Abuse,VIN/plate enumeration used for stalking or fraud,"Personal safety; fraud; partner loss",High,Critical,"Purpose/owner checks; masks; rate limits; no wildcard; report limits","Behavior/device/payment anomaly detection",,Block users/devices investigate and tune controls,Open,,Low,Yes
RK007,Data quality,No-result is presented as clean history,"Misleading purchase decision; complaints",High,High,"Mandatory language; source coverage and unavailable states","Usability tests; report QA; complaint monitoring",,Correct UI notify affected purchasers as policy requires,Open,,Low,No
RK008,Parts,Purchase is shown as installation,"False repair/warranty history",Medium,High,"Separate state machines; technician confirmation; RO link","Event validation and audit sampling",,Withdraw event review contributor,Open,,Low,Yes
RK009,Contributor,Shop fabricates repair or mileage events,"Market trust and vehicle value harm",Medium,High,"Business/technician verification; evidence; signed submissions; quality rewards","Pattern analytics; complaint/comeback and evidence audits",,Suspend contributor correct events investigate,Open,,Low,Yes
RK010,Contributor,Accurate negative events are hidden for payment,"Consumer deception and reputational collapse",Medium,Critical,"Non-negotiable policy; independent evidence grade; contract terms","Deletion/correction audit; revenue-to-outcome review",,Reinstate event terminate abuse and notify as needed,Open,,Low,Yes
RK011,Insurance,Insurer event implies driver fault or unsupported severity,"Defamation/fairness and claim conflict",Medium,High,"Approved categories only; no blame; source wording","Report sampling; dispute trends",,Suppress/correct and review field mapping,Open,,Low,No
RK012,Government,365 implies LTO/HPG endorsement before approval,"Agency relationship and public trust harm",Medium,High,"Claim approval policy; no logos; controlled templates","Public copy review; web/social monitoring",,Remove claim notify agency if appropriate retrain,Open,,Low,Yes
RK013,Operational,Disputes exceed staffing capacity,"Incorrect events remain public; customer harm",Medium,High,"Volume caps; service targets; trained reviewers; urgent triage","Queue age and SLA dashboards",,Pause report expansion add staff suppress urgent events,Open,,Low,Yes
RK014,Incident,365 cannot assess/notify within applicable deadline,"NPC/partner noncompliance; increased harm",Medium,Critical,"IR plan; DPO/counsel; processor clauses; tabletop","Time-to-triage and exercise metrics",,Escalate incident commander and external support,Open,,Low,Yes
RK015,Continuity,Backups are unavailable or corrupted,"Loss of evidence and service",Medium,High,"Encrypted backups; separation; point-in-time protection","Quarterly restore and integrity test",,Failover/restore and root-cause remediation,Open,,Low,Yes
