field_id,domain,field_or_capability,requested_source,direction,purpose,initial_request,consumer_display,display_format,raw_storage,proposed_retention,identity_or_personal_risk,minimum_controls,agreement_status,notes
F001,Identity,VIN or chassis match,LTO,365 to partner and status back,Confirm submitted vehicle identity,Yes,Yes,"Masked identifier plus match/mismatch/unable to verify",Prefer no raw response,"Approved status lifecycle and source rule",High,"Purpose token; HMAC lookup; encryption; rate limit; audit",Not negotiated,No bulk enumeration
F002,Identity,Engine number match,LTO,365 to partner and status back,Detect regulated component mismatch,Discuss,Conditional,"Match status only",Prefer no raw response,Contract-defined,High,"Restricted role; masked display; review escalation",Not negotiated,May require change-of-engine workflow
F003,Identity,Plate-to-vehicle match,LTO,365 to partner and status back,Prevent listing/document mismatch,Discuss,Conditional,"Match status only; plate masked",Prefer no raw response,Contract-defined,High,"Owner/purpose authorization; anti-enumeration; audit",Not negotiated,Do not expose owner
F004,Identity,MV file or transaction reference,LTO,365 to partner and status back,Improve exact matching,Discuss,No,Not displayed,Ephemeral,Shortest permitted,High,"Restricted partner zone; encryption; field policy",Not negotiated,
F005,Status,Registration active/inactive/unknown,LTO,Partner to 365,Transaction safety,Yes,Conditional,"Approved status and timestamp",Minimal,Source-validity period,Medium,"Source expiry; no owner data; report limitation",Not negotiated,
F006,Status,Transfer/change process status,LTO,Partner to 365,Improve transfer completion,Discuss,Conditional,"Approved process state; no applicant identity",Minimal,Source-validity period,Medium,"Purpose restriction; freshness; correction",Not negotiated,
F007,Status,Official review required,LTO/HPG,Partner to 365,Stop unsafe transaction,Yes,Yes,"Official verification required; follow instructions",No investigative payload,Short status validity,High,"No allegations; urgent escalation; audit",Not negotiated,
F008,Enforcement,Stolen/alarmed/recovered status or referral,PNP-HPG,Partner to 365,Transaction and identity safety,Discuss,Conditional,"Referral/status language approved by HPG",No investigative payload,Shortest permitted,Very high,"No bulk queries; exact purpose; restricted users; incident contact",Not negotiated,
F009,Insurance,Total-loss category,Insurer/Insurance Commission framework,Partner to 365,Material history disclosure,Discuss,Yes,"Source-reported category; date range; limitations",Approved normalized event,Vehicle lifecycle if lawful,High,"No policyholder; correction; source/version; role controls",Not negotiated,
F010,Insurance,Restorable/restored/unrestorable state,Insurer,Partner to 365,Material history disclosure,Discuss,Yes,"Approved category and date",Approved normalized event,Vehicle lifecycle if lawful,High,"No fault inference; evidence/source; dispute",Not negotiated,
F011,Insurance,Material damage event,Insurer/adjuster,Partner to 365,Buyer safety and claims traceability,Discuss,Conditional,"Approved severity/category only",Approved normalized event,Contract-defined,High,"No private claim file; no blame; correction",Not negotiated,
F012,Insurance,Theft/recovery event,Insurer/HPG,Partner to 365,History disclosure,Discuss,Conditional,"Approved event status/date",Minimal,Contract-defined,High,"No investigative or owner data; source attribution",Not negotiated,
F013,Inspection,Official inspection date/result,PMVIC/PETC,Partner to 365,Roadworthiness history,Yes,Yes,"Official inspection label; result/advisory; timestamp",Signed normalized event,Contract-defined,Medium,"Identity match; signature; correction; separate from PPI",Not negotiated,
F014,Inspection,Odometer at inspection,PMVIC/PETC,Partner to 365,Mileage timeline,Discuss,Yes,"Reading; units; source; status",Normalized event,Vehicle lifecycle if lawful,Medium,"Inconsistency label; no fraud conclusion",Not negotiated,
F015,Shop,Vehicle identifier observation,Verified shop,Shop to 365,Identity evidence,Yes,Masked,"Verified shop observation",Photo/evidence restricted,Vehicle lifecycle with privacy separation,High,"Shop signature; photos private; conflict review",Native pilot,
F016,Shop,Odometer or engine-hour observation,Verified shop,Shop to 365,Mileage/usage timeline,Yes,Yes,"Reading; units; reading status; month/date precision",Photo restricted,Vehicle lifecycle if lawful,Medium,"Cluster photo private; anomaly logic; dispute",Native pilot,
F017,Shop,Public-safe service operation,Verified shop,Shop to 365,Maintenance history,Yes,Yes,"High-level operation and date/mileage",Private RO remains shop zone,Vehicle lifecycle if lawful,Low,"Customer/price/notes excluded; source and RO link",Native pilot,
F018,Parts,Part purchase,Supplier/Shop Manager,Partner/shop to 365,Provenance and warranty,Yes,Conditional,"Purchased status; manufacturer/part; date",Invoice restricted,Accounting/warranty schedule,Medium,"Purchase not installation; invoice redaction; source rights",Native pilot,
F019,Parts,Part installation,Technician/Shop Manager,Shop to 365,Installed-component lifecycle,Yes,Yes,"Installed part; position; date; mileage; warranty",Evidence restricted,Vehicle lifecycle if lawful,Medium,"Technician confirmation; RO; critical-part evidence",Native pilot,
F020,Parts,Part removal/failure/warranty,Shop/supplier,Partner/shop to 365,Failure and warranty lifecycle,Yes,Conditional,"Removal/replacement/warranty status",Evidence restricted,Warranty/dispute schedule,Medium,"No blame; reviewed failure finding; source",Native pilot,
F021,Diagnostics,Pre-scan/post-scan summary,Approved VCI/provider,Device/shop to 365,Repair evidence,Yes,Conditional,"Systems scanned; DTC summary; resolved/new/unresolved",Raw frames restricted and time-limited,Contract and diagnostic need,High,"Device identity; VIN compare; no security secrets",Prototype,
F022,OEM,Recall/campaign completion,OEM/dealer,Partner to 365,Safety and recall history,Discuss,Yes,"Applicable/open/completed/unknown with source date",Normalized event,Vehicle lifecycle,Low,"Authoritative source; no inferred completion",Not negotiated,
F023,OEM,Warranty repair/genuine part,OEM/dealer,Partner to 365,Service and parts traceability,Discuss,Conditional,"Approved operation/part summary",Restricted source details,Contract-defined,Medium,"Customer identity excluded; source licence",Not negotiated,
F024,Auction,Condition sheet/mileage/photos,Licensed auction provider,Partner to 365,Origin history,Discuss,Conditional,"Licensed fields/images only",Per licence,Per licence,Medium,"Chassis match; translation/source limits; no scraping",Not negotiated,
