priority,wave,provider,product,primary_module,regions,official_route,public_contact,internal_owner,status,first_contacted_at,follow_up_at,provider_contact_name,provider_contact_email,nda_status,coverage_file_status,sandbox_status,demo_date,pricing_status,legal_review_status,technical_review_status,next_action,decision,notes
1,1,TecAlliance,TecDoc/TecRMI/TecCom,repair_automotive,Asia-Pacific|Europe|North America,https://www.tecalliance.net/contact,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Send tailored APAC RFI,,
2,1,Autodata,Autodata API,repair_automotive,Asia-Pacific|Europe|North America,https://developer.autodata-group.com/,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request API commercial contact and exact regional coverage,,
3,1,Infomedia,VIN/Parts/OMNI APIs,repair_automotive,Asia-Pacific|Europe|North America,https://www.infomedia.com.au/apis/,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request independent multi-tenant eligibility,,
4,1,HaynesPro,Web Services,repair_automotive,Asia-Pacific|Europe|North America,https://www.infopro-digital-automotive.com/contact-us/,info.haynespro@infopro-digital.com,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request module-specific coverage and Web Services rights,,
5,1,MOTOR,DaaS,repair_automotive,North America,https://www.motor.com/products-services/data-services/,sales@motor.com,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request data consultation and pilot pricing,,
6,1,ARI/Dealer Spike,PartStream/DataSmart,repair_marine,Asia-Pacific|Europe|North America,https://arinet.com/marine/,+1 800 248 1955,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request marine brand/territory coverage and embed rights,,
7,1,Volvo Penta,API Products,repair_marine,Asia-Pacific|Europe|North America,https://developer.volvopenta.com/volvopenta/ext/product,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Apply as business partner and request APAC route,,
8,1,Auto Care Association,ACES/PIES,repair_automotive,North America,https://www.autocare.org/data-standards/subscriptions,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Book software/solution-provider licensing meeting,,
9,1,NCM/Spader,Marine and Powersports Flat Rates,repair_marine,North America|International,https://sf.ncmassociates.com/product/flat-rate-manual/,sfinfo@ncmassociates.com,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request export/SaaS/international rights,,
10,1,Epicor,Catalog for Automotive API,repair_automotive,North America,https://www.epicor.com/en-us/products/digital-commerce/catalog-for-automotive/,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request catalog API demo and pricing,,
11,2,Mitchell 1,ProDemand/TruckSeries integration,repair_heavy_truck,North America,https://mitchell1.com/resources/truckseries/,+1 888 724 6742,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Submit third-party API request,,
12,2,TEXA,IDC Bike/Truck/Marine,repair_motorcycle,Asia-Pacific|Europe|North America,https://www.texa.com/company/contacts/,expsales@texa.com,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request international demo and integration route,,
13,2,Jaltest/Cojali,Jaltest CV/Marine,repair_heavy_truck,Asia-Pacific|Europe|North America,https://www.jaltest.com/en/contact/,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request Philippines distributor/demo and report integration,,
14,2,Noregon,JPRO,repair_heavy_truck,North America,https://www.noregon.com/jpro/,+1 855 889 5776,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request fleet diagnostic/report integration,,
15,2,Diesel Laptops,Diesel Repair,repair_heavy_truck,North America,https://repair.diesellaptops.com/,,Jordi,not_contacted,,,,,not_started,not_requested,not_requested,,not_requested,not_started,not_started,Request partner API details,,
